EURJPY_time,EURJPY_Open,EURJPY_High,EURJPY_Low,EURJPY_Close,EURJPY_Volume
23.08.2012 00:00:00.000,98.454,98.823,98.287,98.718,191534.7188
24.08.2012 00:00:00.000,98.718,98.837,97.986,98.468,156518.875
25.08.2012 00:00:00.000,98.468,98.468,98.468,98.468,0
26.08.2012 00:00:00.000,98.353,98.623,98.291,98.489,13375.6602
27.08.2012 00:00:00.000,98.490,98.720,98.328,98.468,106745.1719
28.08.2012 00:00:00.000,98.468,98.838,97.903,98.787,162065.9375
29.08.2012 00:00:00.000,98.787,98.835,98.388,98.664,151155.4844
30.08.2012 00:00:00.000,98.664,98.798,98.050,98.257,153170.3438
31.08.2012 00:00:00.000,98.256,99.035,97.990,98.607,183097.7344
01.09.2012 00:00:00.000,98.607,98.607,98.607,98.607,0
02.09.2012 00:00:00.000,98.464,98.617,98.351,98.467,13305.0996
03.09.2012 00:00:00.000,98.468,98.704,98.228,98.611,121283.3906
04.09.2012 00:00:00.000,98.611,99.027,98.296,98.373,162471.0625
05.09.2012 00:00:00.000,98.373,98.923,97.996,98.828,182387.0781
06.09.2012 00:00:00.000,98.828,99.813,98.795,99.657,199436.2031
07.09.2012 00:00:00.000,99.657,100.439,99.615,100.200,197103.8906
08.09.2012 00:00:00.000,100.200,100.200,100.200,100.200,0
09.09.2012 00:00:00.000,100.230,100.286,100.052,100.114,7916.5698
10.09.2012 00:00:00.000,100.114,100.241,99.835,99.853,149290.125
11.09.2012 00:00:00.000,99.853,100.252,99.533,99.950,183845.5781
12.09.2012 00:00:00.000,99.950,100.651,99.776,100.422,194838.0156
13.09.2012 00:00:00.000,100.422,100.915,99.554,100.904,192876.7031
14.09.2012 00:00:00.000,100.904,103.028,100.757,102.760,216021.6875
15.09.2012 00:00:00.000,102.760,102.760,102.760,102.760,0
16.09.2012 00:00:00.000,102.797,102.970,102.686,102.747,16316.2695
17.09.2012 00:00:00.000,102.745,103.868,102.586,103.139,171787.9844
18.09.2012 00:00:00.000,103.139,103.228,102.411,102.774,192870.8281
19.09.2012 00:00:00.000,102.772,103.642,102.117,102.373,221701.1094
20.09.2012 00:00:00.000,102.374,102.410,100.951,101.479,210146.5469
21.09.2012 00:00:00.000,101.480,102.112,101.264,101.448,175415.9063
22.09.2012 00:00:00.000,101.448,101.448,101.448,101.448,0
23.09.2012 00:00:00.000,101.424,101.590,101.259,101.316,16313.4805
24.09.2012 00:00:00.000,101.319,101.420,100.362,100.780,147918.9531
25.09.2012 00:00:00.000,100.780,101.056,100.166,100.287,162469.125
26.09.2012 00:00:00.000,100.288,100.476,99.723,100.062,156299.0938
27.09.2012 00:00:00.000,100.055,100.368,99.651,100.231,155465.2031
28.09.2012 00:00:00.000,100.233,100.682,99.934,100.297,170839.9844
29.09.2012 00:00:00.000,100.297,100.297,100.297,100.297,0
30.09.2012 00:00:00.000,100.364,100.364,99.834,99.855,16224.1504
01.10.2012 00:00:00.000,99.855,101.034,99.801,100.598,150445.9531
02.10.2012 00:00:00.000,100.599,101.204,100.492,101.002,150673.9219
03.10.2012 00:00:00.000,101.002,101.481,100.728,101.385,153312.2969
04.10.2012 00:00:00.000,101.383,102.260,101.318,102.180,161376.3906
05.10.2012 00:00:00.000,102.175,102.810,101.870,102.556,142126.1094
06.10.2012 00:00:00.000,102.556,102.556,102.556,102.556,0
07.10.2012 00:00:00.000,102.427,102.517,102.385,102.452,12807.04
08.10.2012 00:00:00.000,102.454,102.456,101.134,101.593,114379.6172
09.10.2012 00:00:00.000,101.593,101.854,100.476,100.619,154277.2188
10.10.2012 00:00:00.000,100.615,101.170,100.279,100.416,149284.0781
11.10.2012 00:00:00.000,100.414,101.723,100.160,101.413,153924.4375
