Gmt time,Open,High,Low,Close,Volume
26.09.2005 00:00:00.000,248.280,248.760,246.490,247.280,2016.3235
27.09.2005 00:00:00.000,246.910,248.350,246.860,247.210,3389.1394
28.09.2005 00:00:00.000,247.260,249.610,247.260,248.830,2273.7266
29.09.2005 00:00:00.000,248.880,249.700,248.290,248.670,2102.1245
30.09.2005 00:00:00.000,248.500,249.910,248.500,249.590,2616.9304
01.10.2005 00:00:00.000,249.590,249.590,249.590,249.590,0
02.10.2005 00:00:00.000,249.590,249.590,249.590,249.590,0
03.10.2005 00:00:00.000,249.740,251.270,249.570,250.950,3989.7466
04.10.2005 00:00:00.000,250.940,251.250,249.770,250.170,5190.9604
05.10.2005 00:00:00.000,250.140,250.210,249.450,249.470,2402.428
06.10.2005 00:00:00.000,249.500,251.620,249.500,250.780,2960.1345
07.10.2005 00:00:00.000,250.430,251.640,250.390,250.160,4375.8511
08.10.2005 00:00:00.000,250.160,250.160,250.160,250.160,0
09.10.2005 00:00:00.000,250.160,250.160,250.160,250.160,0
10.10.2005 00:00:00.000,247.840,251.040,246.880,249.830,1801.821
11.10.2005 00:00:00.000,250.060,250.560,249.530,249.400,3346.239
12.10.2005 00:00:00.000,249.530,250.990,249.430,250.750,1758.9205
13.10.2005 00:00:00.000,250.740,253.280,250.740,252.730,2917.2339
14.10.2005 00:00:00.000,252.380,253.920,252.380,252.720,5577.0649
15.10.2005 00:00:00.000,252.720,252.720,252.720,252.720,0
16.10.2005 00:00:00.000,252.720,252.720,252.720,252.720,0
17.10.2005 00:00:00.000,252.770,253.470,250.550,251.850,3517.8411
18.10.2005 00:00:00.000,251.860,252.900,251.590,252.490,1758.9205
19.10.2005 00:00:00.000,252.690,253.760,250.550,253.240,5319.6621
20.10.2005 00:00:00.000,253.220,253.780,253.220,253.420,4633.2539
21.10.2005 00:00:00.000,253.070,254.240,253.070,253.670,2574.03
22.10.2005 00:00:00.000,253.670,253.670,253.670,253.670,0
23.10.2005 00:00:00.000,253.670,253.670,253.670,253.670,0
24.10.2005 00:00:00.000,253.790,254.170,253.310,253.770,1801.821
25.10.2005 00:00:00.000,253.820,254.050,252.140,251.920,5619.9653
26.10.2005 00:00:00.000,251.570,252.840,251.300,251.910,1458.6169
27.10.2005 00:00:00.000,251.560,253.040,250.560,250.710,2102.1245
28.10.2005 00:00:00.000,250.460,252.410,250.460,250.850,4547.4531
29.10.2005 00:00:00.000,250.850,250.850,250.850,250.850,0
30.10.2005 00:00:00.000,250.850,250.850,250.850,250.850,0
31.10.2005 00:00:00.000,250.700,250.870,250.100,250.400,4719.0552
01.11.2005 00:00:00.000,250.400,250.770,250.400,249.960,4633.2539
